
// ItemID = ItemTypeChar;ItemMaxCount
//    ItemTypeChar = w (weapon) | a (armor) | k (key) | u (useable)

0=w;1
1=w;1
2=w;1
3=w;1
4=w;1
5=w;1
6=w;1
7=w;1
8=w;1
9=w;1
10=w;1
11=w;1
12=w;1
13=w;1
14=w;1
15=w;1
16=w;1
17=w;1
18=w;1
19=w;1
20=w;1
21=w;1
22=w;1
23=w;1
24=w;1
25=w;1
26=w;1
27=w;1
28=w;1
29=w;1
30=w;1
31=w;1
32=w;1
33=a;1
34=a;1
35=a;1
36=a;1
37=a;1
38=a;1
39=a;1
40=a;1
41=a;1
42=a;1
43=a;1
44=a;1
45=a;1
46=a;4
47=a;1
48=a;1
49=a;1
50=a;1
51=a;1
52=a;1
53=a;1
54=a;1
55=a;1
56=a;1
57=a;1
58=a;1
59=a;1
60=a;1
61=a;1
62=a;1
63=u;99
64=k;8
65=k;6
66=w;1
67=w;1
68=w;1
69=w;1
70=w;1
71=u;9
72=u;1
73=u;3
74=u;3
75=u;3
76=u;3
77=u;3
78=u;1
79=u;1
80=u;3
81=u;3
82=u;3
83=u;3
84=k;6
85=k;6
86=k;6
87=k;5
88=w;1
89=w;1
90=w;1
91=w;1
92=w;1
93=w;1
94=w;1
95=k;6
96=k;6
97=k;6
98=k;3
99=k;1
100=u;3
101=k;1
102=k;1
103=k;1
104=k;1
105=k;1
106=u;2
107=u;1
